Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
FICO,Fair Isaac Corporation,120.85,$3.73B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/fico
FIS,"Fidelity National Information Services, Inc.",76.5,$25.08B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/fis
FDC,First Data Corporation,13.28,$12.08B,2015,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/fdc
FLT,"FleetCor Technologies, Inc.",171.4,$20.73B,2010,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/flt
GPN,Global Payments Inc.,73.04,$11.23B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/gpn
GRUB,GrubHub Inc.,41.56,$3.54B,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/grub
LC,LendingClub Corporation,5.38,$2.1B,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/lc
MA,Mastercard Incorporated,100.88,$111.86B,2006,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ma
MMS,"Maximus, Inc.",54.58,$3.54B,1997,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/mms
MSCI,MSCI Inc,82.91,$7.85B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/msci
NLSN,Nielsen N.V.,53.53,$19.13B,2011,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/nlsn
RBA,Ritchie Bros. Auctioneers Incorporated,35.46,$3.78B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/rba
BID,Sotheby&#39;s,35.79,$1.97B,1988,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/bid
TSS,"Total System Services, Inc.",47.2,$8.68B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/tss
TNET,"TriNet Group, Inc.",20.07,$1.41B,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/tnet
VNTV,"Vantiv, Inc.",56.33,$10.79B,2012,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/vntv
VVI,Viad Corp,35.4,$718.09M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/vvi
V,Visa Inc.,82.45,$194.65B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/v
